,Source,Likes,Text,Image,Retweets
340,Twitter for Android,2,Ottawa truckers  freedom convoy 2022 .. https://t.co/cM2cQ4ZP0J,https://pbs.twimg.com/media/FKRwxZmXIAEioae.jpg,2
341,Twitter for iPhone,0,RT @Lady_Pie45: Freedom Convoy 2022 https://t.co/4iRwEaNDxD,https://pbs.twimg.com/media/FKJDDjiXIAUpFQf.jpg,0
342,Twitter Web App,31,"LIVE BROADCAST LINKS for #FreedomConvoyCanada #freedomconvoy22 #FreedomConvoyCanada2022 

LINKS: https://t.co/wgPe1edziN https://t.co/OpaBekPQ2e",https://pbs.twimg.com/media/FKRvQxnWYAMecR-.jpg,31
343,Twitter Web App,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
344,Twitter for Android,0,RT @Lady_Pie45: Freedom Convoy 2022 https://t.co/4iRwEaNDxD,https://pbs.twimg.com/media/FKJDDjiXIAUpFQf.jpg,0
345,Twitter for iPhone,5,"הצטרפו לקבוצות הפייסבוק והטלגרם - שיירת החירות 
ISRAEL CONVOY 2022 FOR FREEDOM 🇮🇱🇨🇦🚛🚚🚙🚜
שהוקמו במטרה להביע תמיכה בשיירות של נהגי המשאיות בקנדה, אוסטרליה, שבדיה ודנמרק.
היעד המשותף לכולם-החזרת החופש והשפיות לחיינו ולחיי ילדינו.

https://t.co/gNRBFDWDWl

https://t.co/jB4KpVZfGV https://t.co/YLTDPmiBBz",https://pbs.twimg.com/media/FKRuM6tXoActEhV.jpg,5
346,Twitter for iPhone,2,"🇨🇦#Canada  🚨#Freedom_Convoy 2022
Truckers are demanding the lifting of a new package of restrictive measures, which provides for a 14-day quarantine for unvaccinated after returning from the United States. https://t.co/1hDQIODVOX",https://pbs.twimg.com/media/FKRtqU3XoAEP_AD.jpg,2
347,Twitter Web App,5,"@ISafeyet @Tee2019K @sparty009 @JohnC32116200 @EastTexanBrit @ltucker8044 @Cc247C @Patri0tMom @WeStand4theFlag @DMcDMuffin @QT4USATRUMP @ColorApril @JustMelissa81 @Ginger_MAGA @WhalenMona @DavidRFish5 @DorisMele @Douglasbardsle2 @KymC1019 @mimiflyz @fx_bean @deplorablelyndi @TheRebeluniter @MikeCompton @Ecomemory1 @bdonesem @patriot_roll @MarilynLavala @4321parker @TheRealPope5 @NYCLee5 @PatriotsWays @BFes56 @CAPUSA100 @8_27J @cSEXI4 @DBoggss510 @txark76 @Staniss0 @BellaZZu @juzjaz2 @JJemiola TODAY 50,000 TRUCKERS OTTAWA CANADA
https://t.co/asCGqZ3Fyw
https://t.co/s2v0EkAdi8

Video https://t.co/G8rU5fj8aE

https://t.co/gZgSZn3rRi

Facebook Removed Movement Now At https://t.co/foUi1BzHhi

@OANN @KUSINews @AmericanThinker @newsmax @FDRLST @nypost @carldemaio @TJLakers01 https://t.co/7H6XiAmEmF",https://pbs.twimg.com/media/FKRtQCkVUAAvdQ5.jpg,5
348,Twitter Web App,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
349,Twitter Web App,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
350,Twitter for Android,0,"@OzraeliAvi Looks like we got ourselves a #Convoy
#TruckersForFreedom2022 
#Canada
#Freedom
#CovidMandates
#TrudeauResign 

14:30 29th Jan 2022 GMT https://t.co/MNIzGPPwHr",https://pbs.twimg.com/media/FKRsPs6XwAI-Vk-.jpg,0
351,Twitter Web App,0,"RT @DavidBrexitm8: https://t.co/IetBb10uqC #freedomconvoy2022
#CanadianTruckersRule https://t.co/ug8i6HLM7k",https://pbs.twimg.com/media/FKRqqwnXwAE-D24.jpg,0
352,Twitter for iPhone,1,"https://t.co/IetBb10uqC #freedomconvoy2022
#CanadianTruckersRule https://t.co/ug8i6HLM7k",https://pbs.twimg.com/media/FKRqqwnXwAE-D24.jpg,1
353,Twitter for Android,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
354,Twitter Web App,0,"ALMOST $8 MILLION RAISED FOR ‘FREEDOM CONVOY 2022’ on https://t.co/3NNyeRdZl7, so far. More than 50 sites trying to raise money for various individuals &amp; groups for ‘Freedom Convoy’ on gofundme. https://t.co/NIsrxWxTju",https://pbs.twimg.com/media/FKRoSQ1WYAkOXoJ.jpg,0
355,Twitter Web App,0,"Ottawa - Freedom Convoy -Friday Jan 28, 2022 
https://t.co/du25vCutPV
https://t.co/Mg25opDrXE
https://t.co/C08YWJxKYd
https://t.co/4tw54sB3Sl
https://t.co/UMC7rFrgRZ
https://t.co/sgzMNVBbUk
https://t.co/cLNpggyFkA https://t.co/ffcnB8aAKW",https://pbs.twimg.com/media/FKRoHmsXEAI85HY.jpg,0
356,Twitter Web App,0,"@bonsang

Il y a 8 minutes

LIVE Ottawa - Freedom Convoy -Friday Jan 28, 2022
https://t.co/Mg25opDrXE
https://t.co/C08YWJxKYd
https://t.co/4tw54sB3Sl
https://t.co/UMC7rFrgRZ
https://t.co/sgzMNVBbUk
https://t.co/cLNpggyFkA https://t.co/FavEbrTgin",https://pbs.twimg.com/media/FKRlvsaXsAU3n7X.jpg,0
357,Twitter for Android,0,RT @Lady_Pie45: Freedom Convoy 2022 https://t.co/4iRwEaNDxD,https://pbs.twimg.com/media/FKJDDjiXIAUpFQf.jpg,0
358,TweetDeck,8,"As ‘freedom convoy’ heads to Parliament Hill, politicos say Conservatives are supporting a ‘loser of a political issue,’ by @Matt_HorwoodHT #cdnpoli 

https://t.co/eQmDZGOAda (unlocked) https://t.co/bUe6voF79B",https://pbs.twimg.com/media/FKN5Ml0WQAIy0B8.jpg,8
359,Twitter Web App,0,"@bonsang

Il y a 8 minutes

LIVE Ottawa - Freedom Convoy -Friday Jan 28, 2022
https://t.co/Mg25opDrXE

https://t.co/C08YWJxKYd

https://t.co/4tw54sB3Sl

https://t.co/UMC7rFrgRZ

https://t.co/sgzMNVBbUk

https://t.co/cLNpggyFkA https://t.co/w1q0f0d8EY",https://pbs.twimg.com/media/FKRlRMIXoAACgvi.jpg,0
360,Twitter Web App,0,"@bonsang

Il y a 8 minutes

LIVE Ottawa - Freedom Convoy -Friday Jan 28, 2022
https://t.co/Mg25opDrXE

https://t.co/C08YWJxKYd

https://t.co/4tw54sB3Sl

https://t.co/UMC7rFrgRZ

https://t.co/sgzMNVBbUk

https://t.co/cLNpggyFkA https://t.co/3eMSQLqN2p",https://pbs.twimg.com/media/FKRkxPyXIAQIQVI.jpg,0
